"n","belief","sigma","V"
2,0.000322281578390244,0,8.94248606263974
2,0.000669121813665937,0,8.94056235591871
2,0.00138871383898952,0,8.93656684477086
2,0.00287994475268055,0,8.92827632029281
2,0.00596292981571596,0,8.91110513666158
2,0.0123055251740701,0,8.87569726611561
2,0.025223366530346,0,8.80335299356396
2,0.0510016035657015,0,8.65837778629427
2,0.100411334552102,0,8.37889064192956
2,0.188195991091314,0,7.87833675024634
2,0.325,0,7.08905410933024
2,0.5,0,6.06054295273571
2,0.675,0,4.99811270591953
2,0.811804008908686,0,4.11326583410202
2,0.899588665447898,0.912720039224721,3.46534097967186
2,0.948998396434298,1,3.4142135623731
2,0.974776633469654,1,3.4142135623731
2,0.98769447482593,1,3.4142135623731
2,0.994037070184284,1,3.4142135623731
2,0.99712005524732,1,3.4142135623731
2,0.998611286161011,1,3.4142135623731
2,0.999330878186334,1,3.4142135623731
2,0.99967771842161,1,3.4142135623731
2,0.999844801453114,1,3.4142135623731
2,0.99992526875985,1,3.4142135623731
2,0.999964016897451,1,3.4142135623731
2,0.999982674479219,1,3.4142135623731
2,0.999991658007646,1,3.4142135623731
2,0.999995983467789,1,3.4142135623731
2,0.999998066110093,1,3.4142135623731
2,0.999999068866889,1,3.4142135623731
2,0.999999551676434,1,3.4142135623731
3,4.48323566228638e-07,0,8.94426613610584
3,9.31133111068339e-07,0,8.94426458329736
3,1.93388990684002e-06,0,8.94426019048294
3,4.01653221071115e-06,0,8.94425019032152
3,8.3419923543744e-06,0,8.94422875044248
3,1.7325520781311e-05,0,8.94418371589037
3,3.59831025485786e-05,0,8.94408972998555
3,7.4731240149641e-05,0,8.94389413427307
3,0.000155198546886309,0,8.9434871727212
3,0.000322281578390244,0,8.94264086168315
3,0.000669121813665937,0,8.94087999500564
3,0.00138871383898952,0,8.93721724434283
3,0.00287994475268055,0,8.92959827275244
3,0.00596292981571596,0,8.91377269368056
3,0.0123055251740701,0,8.88100416261097
3,0.025223366530346,0,8.813702008553
3,0.0510016035657015,0,8.67786332508909
3,0.100411334552102,0,8.41350313309757
3,0.188195991091314,0,7.93382110058993
3,0.325,0,7.16331991438258
3,0.5,0,6.13062183631619
3,0.675,0,5.01333551310348
3,0.811804008908686,0.911149091123307,4.00444013335805
3,0.899588665447898,1,3.90913553677085
3,0.948998396434298,1,3.90913553677085
3,0.974776633469654,1,3.90913553677085
3,0.98769447482593,1,3.90913553677085
3,0.994037070184284,1,3.90913553677085
3,0.99712005524732,1,3.90913553677085
3,0.998611286161011,1,3.90913553677085
3,0.999330878186334,1,3.90913553677085
3,0.99967771842161,1,3.90913553677085
3,0.999844801453114,1,3.90913553677085
3,0.99992526875985,1,3.90913553677085
3,0.999964016897451,1,3.90913553677085
3,0.999982674479219,1,3.90913553677085
3,0.999991658007646,1,3.90913553677085
3,0.999995983467789,1,3.90913553677085
3,0.999998066110093,1,3.90913553677085
3,0.999999068866889,1,3.90913553677085
3,0.999999551676434,1,3.90913553677085
4,4.48323566228638e-07,0,8.94426663622505
4,9.31133111068339e-07,0,8.94426521757676
4,1.93388990684002e-06,0,8.94426120358485
4,4.01653221071115e-06,0,8.94425206465058
4,8.3419923543744e-06,0,8.94423246491545
4,1.7325520781311e-05,0,8.94419128322562
4,3.59831025485786e-05,0,8.94410529208936
4,7.4731240149641e-05,0,8.94392622833094
4,0.000155198546886309,0,8.94355333095829
4,0.000322281578390244,0,8.94277701159365
4,0.000669121813665937,0,8.94115932318254
4,0.00138871383898952,0,8.93778783166526
4,0.00287994475268055,0,8.93075641365963
4,0.00596292981571596,0,8.91610135797394
4,0.0123055251740701,0,8.8856198384966
4,0.025223366530346,0,8.82264453147395
4,0.0510016035657015,0,8.69455086004096
4,0.100411334552102,0,8.44270129434208
4,0.188195991091314,0,7.97942662970455
4,0.325,0,7.22110528341166
4,0.5,0,6.17656953949171
4,0.675,0.538863426199261,4.99815108082441
4,0.811804008908686,1,4.34606521495123
4,0.899588665447898,1,4.34606521495123
4,0.948998396434298,1,4.34606521495123
4,0.974776633469654,1,4.34606521495123
4,0.98769447482593,1,4.34606521495123
4,0.994037070184284,1,4.34606521495123
4,0.99712005524732,1,4.34606521495123
4,0.998611286161011,1,4.34606521495123
4,0.999330878186334,1,4.34606521495123
4,0.99967771842161,1,4.34606521495123
4,0.999844801453114,1,4.34606521495123
4,0.99992526875985,1,4.34606521495123
4,0.999964016897451,1,4.34606521495123
4,0.999982674479219,1,4.34606521495123
4,0.999991658007646,1,4.34606521495123
4,0.999995983467789,1,4.34606521495123
4,0.999998066110093,1,4.34606521495123
4,0.999999068866889,1,4.34606521495123
4,0.999999551676434,1,4.34606521495123
